part_code,qty,unit,scrap_factor,op_ref
102.1.0056,35,,,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C13,C14,C15,C16,C25,C29,C31,C35,C39,C43,C47,C53,C66,C72,C77,C79,C80,C85,C105,C106,C107,C22,C62,C63"
102.1.0057,7,,,"C12,C30,C32,C34,C46,C60,C65"
102.3.0018,1,,,C17
102.7.0002,2,,,"C18,C24"
102.3.0017,1,,,C19
102.3.0007,3,,,"C20,C23,C37"
102.4.0002,1,,,C21
102.1.0022,1,,,C26
102.1.0009,1,,,C27
102.1.0012,9,,,"C28,C49,C50,C58,C59,C70,C71,C74,C75"
102.1.0010,3,,,"C33,C101,C104"
102.4.0001,8,,,"C36,C38,C40,C41,C42,C51,C52,C100"
102.7.0007,1,,,C44
102.1.0021,3,,,"C48,C61,C82"
102.3.0019,4,,,"C54,C55,C90,C91"
102.4.0003,6,,,"C56,C57,C67,C68,C99,C102"
,,,,
102.1.0013,1,,,C79
102.1.0034,1,,,C81
102.1.0015,2,,,"C83,C92"
102.7.0013,1,,,C84
102.1.0008,5,,,"C86,C87,C88,C89,C94"
102.1.0006,1,,,C93
102.1.0011,1,,,C95
102.1.0041,3,,,"C96,C97,C98"
103.8.0004,10,,,"D1,D3,D23,D29,D33,D36,D38,D39,D40,D45"
103.3.0035,5,,,"D2,D16,D19,D20,D21"
103.1.0002,2,,,"D4,D31"
103.6.0015,1,,,D6
103.4.0001,1,,,D8
103.5.0006,1,,,D9
103.1.0003,2,,,"D10,D28"
103.2.0006,5,,,"D11,D12,D18,D34,D35"
103.6.0009,1,,,D17
103.7.0019,1,,,D22
120.1.0004,1,,,D24
120.1.0002,1,,,D25
103.3.0006,2,,,"D32,D37"
120.2.0004,1,,,D42
120.2.0003,1,,,D43
120.2.0005,1,,,D44
111.1.0009,1,,,F1
114.2.0107,2,,,"J2,J5"
114.2.0013,2,,,"J3,J7"
114.2.0100,2,,,"J4,J8"
114.2.0012,1,,,J9
114.2.0108,1,,,J10
117.2.0005,1,,,K1
117.1.0008,1,,,K2
120.4.0001,1,,,LD1
199.1.0006,1,,,L1
199.1.0005,1,,,L2
199.1.0007,1,,,L3
105-2-0034,7,,,"Q1,Q2,Q4,Q5,Q10,Q11,Q18"
105.2.0066,1,,,Q3
104.2.0001,2,,,"Q6,Q13"
104.1.0001,4,,,"Q7,Q14,Q16,Q21"
105.2.0068,2,,,"Q19,Q20"
101.3.0004,3,,,"R1,R103,R113"
101.1.0021,35,,,"R2,R3,R4,R5,R6,R13,R15,R22,R29,R30,R31,R34,R56,R61,R68,R70,R71,R72,R78,R84,R86,R89,R95,R100,R101,R120,R125,R130,R136,R144,R149,R157,R158,R194,R201,R202"
101.1.0008,4,,,"R7,R18,R131,R140"
101.3.0015,2,,,"R8,R87"
101.1.0002,4,,,"R9,R16,R48,R98"
101.3.0043,5,,,"R10,R105,R106,R107,R116"
101.1.0005,31,,,"R11,R12,R14,R19,R20,R21,R25,R26,R27,R37,R75,R97,R108,R123,R127,R128,R159,R160,R164,R165,R166,R167,R168,R169,R186,R187,R188,R189,R190,R195,R199"
101.3.0020,1,,,R17
101.1.0029,5,,,"R23,R46,R92,R109,R173"
101.1.0018,1,,,R28
101.3.0002,1,,,R32
101.1.0028,5,,,"R33,R96,R137,R138,R145"
101.1.0001,5,,,"R35,R63,R117,R141,R148"
101.1.0027,1,,,R36
101.1.0032,1,,,R38
101.3.0016,6,,,"R39,R40,R42,R51,R52,R55"
101.2.0004,1,,,R41
101.5.0001,1,,,R43
101.7.0001,3,,,"R45,R170,R171"
101.1.0025,3,,,"R47,R94,R129"
101.3.0018,3,,,"R49,R53,R54"
101.1.0003,3,,,"R50,R81,R85"
101.1.0033,7,,,"R57,R66,R69,R74,R77,R79,R104"
101.2.0014,1,,,R58
101.1.0026,1,,,R59
101.1.0022,2,,,"R60,R118"
101.2.0055,1,,,R62
101.1.0077,2,,,"R64,R132"
101.3.0008,2,,,"R65,R67"
101.3.0009,2,,,"R73,R76"
101.3.0017,3,,,"R80,R82,R83"
101.3.0021,1,,,R88
101.1.0019,2,,,"R90,R91"
101.3.0042,1,,,R110
101.1.0011,1,,,R112
101.1.0030,1,,,R115
101.3.0007,1,,,R119
101.1.0076,2,,,"R121,R139"
101.1.0015,1,,,R122
101.2.0009,1,,,R124
101.2.0007,1,,,R126
101.3.0013,1,,,R133
101.1.0012,1,,,R142
101.1.0014,1,,,R143
101.1.0023,2,,,"R146,R147"
101.1.0075,1,,,R150
101.1.0073,1,,,R151
101.3.0001,1,,,R193
118.2.0009,2,,,"SW1,SW2"
198.1.0009,1,,,THR1
110.1.0004,1,,,T1
110.1.0003,1,,,T2
108.5.0009,1,,,U1
106.8.0015,1,,,U2
106.0.0002,2,,,"U3,U18"
106.4.0015,1,,,U4
108.2.0005,1,,,U5
108.5.0022,1,,,U6
106.0.0001,6,,,"U7,U9,U10,U19,U22,U25"
106.8.0009,1,,,U8
108.5.0005,2,,,"U11,U14"
106.8.0016,1,,,U12
106.1.0007,1,,,U15
108.2.0009,1,,,U16
106.5.0002,1,,,U17
106.1.0015,2,,,"U20,U21"
108.4.0002,1,,,U24
106.1.0013,1,,,U27
111.3.0006,3,,,"V1,V2,V3"
